,Model,Series,Display Size (Inch),Shape,Display Type,Display Resolution,Response Time (ms),Refresh Rate (Hz),Viewing Angle,VGA Port,Brightness (cd/m2),Contrast Ratio (TCR/DCR),Others,Color,Part No,Warranty,Made in/ Assemble,Country Of Origin,Display Port,Specialty,Dimensions,HDMI Port,Aspect Ratio,DVI Port,Speaker (Built-in),USB Port,FreeSync,Touch Screen,Remote,Thunderbolt,Regular Price,Special Price
10,LG 19M38A,Regular,18.5,Widescreen,LED Backlight,1366x768 (WxH) HD,5ms,56 - 75Hz,"90 degree (H), 65 degree (V)",1,200cd/m2,600:1,Viewing Angle: 90degree - 65degree,Black,,3 year,,,,,,,,,,,,,,,6840,6400
11,Hikvision DS-D5019QE-B,Surveillance,18.5,Widescreen,HD LED,1366x768 (WxH) HD,5ms,,"90 degree (H), 65 degree (V)",1,200cd/m2,,"VESA: 4-M4 75 mm x 75 mm, Weight: 2.8Kg, Power Supply: AC 100-240V, 50/60Hz, Power Consumption: <-25W, Pixel Pitch: 0.300 mm (H) x 0.300 mm (V), Contrast: 25.000694444444445, Active Area: 409.8mm x 230.4mm",Black,,1 year,China,China,,"19 Inch LED backlight monitor, Image processing (3D comb filter, 3D De-interlace, 3D noise reduction), 24/7 operation","446 x 335 x 148mm (with base), 446 x 275 x 45mm (without base)",1,,,,,,,,,6840,6500
12,HP P204v,Business,19.5,Widescreen,HD LED,1600x900 (WxH) HD+,5ms (Gray to Gray),60Hz,"90 degree (H), 50 degree (V)",1,200cd/m2,"600:1 (Static), 10000000:1 (Dynamic)","Display type: TN with LED backlight, Pixel pitch: 0.27 mm, Display colors: Up to 16.7 million colors supported (through FRC technology), Power: Input voltage 100 to 240 VAC, Power Consumption: 16 W (maximum), 15 W (typical), 0.3 W (standby), Weight: 2.81Kg",Black,5RD66AA,3 year,China,USA,,"Arsenic-free display glass, Low halogen, Mercury-free display backlights, TCO Certified, Anti-glare, LED backlights, Crisp image clarity for all content, Display and device connectivity, Create an efficient workspace","462.6 x 48.7 x 278.7mm (without stand), 462.6 x 48.7 x 278.7mm (with stand)",1,16:9,,,,,,,,7050,6600
13,HP P204,Regular,19.5,Widescreen,HD LED,1600x900 (WxH) HD+,5ms (Gray to Gray),60Hz,"170 degree (H), 160 degree (V)",1,250cd/m2,1000:1 (Static) 10000000:1 (Dynamic),"Display panel type: TN with LED backlight, Pixel pitch: 0.27 mm, Display colors: Up to 16.7 million colors supported (through FRC technology), Display features: Anti-glare, LED backlights, Power Input voltage: 100 to 240 VAC, Power Consumption: 18 W (maximum), 15 W (typical), 0.3 W (standby), Weight: 2.84Kg",Black,5RD65AA,3 year,China,USA,1,"Crisp image clarity for all content, Essential connectivity, Create an efficient workspace","462.6 x 48.7 x 278.7mm (without stand), 462.6 x 190 x 353.6mm (with stand)",1,16:9,,,,,,,,7110,6650
14,HP V214b,Regular,20.7,Widescreen,FHD LED,1920x1080 (WxH) FHD,5ms,50-60Hz,"90 degree (H), 65 degree (V)",1,200cd/m2,"600:1 (Static), 5,000,000:1 (Dynamic)","Panel Type: TN Panels (Twisted Nematic) with LED backlight Display, Aspect Ratio: 16:9, Pixel Pitch: 0.2385 mm, Pixels Per Inch (PPI): 108, Backlight Lamp Life (to half brightness): 30,000 hours minimum, Color Gamut (Typical): 72% (NTSC), Low Blue Light Modes: Yes, Anti-Glare: Yes",Black,3FU54AA,3 year,China,USA,,"Crisp presentation features, Efficient, adaptable workspace, Easy connectivity, Experience a FHD 1920 x 1080 resolution image with a 5ms response rate",,,,,,,,,,,7160,6700
15,Asus VS207DF,Regular,19.5,Widescreen,LED,1366x768 (WxH) HD,5ms,50 - 75Hz,"90 degree (H), 65 degree (V)",1,200cd/m2,600:1,"Panel Type: TN, Color Saturation: 72%(NTSC), ASUS Smart Contrast Ratio (ASCR): 80000000:1, Display Colors: 16.7M, USP: Excellent Visual Performance, Superior Image Quality Meets Classic Design, Key Feature: TN, HD, 5ms, 16.7M, D-Sub, VESA Wall Mounting",Black,,3 year,China,Taiwan,,"Superior Image Quality Meets Classic Design, True-to-life Pictures Powered by LED, Excellent Visual Performance, Home and Office monitor",,,,,,,,,,,7380,6800
16,LG 20MP38A,Regular,19.5,Widescreen,WXGA+ Display,1440x900 (WxH) WXGA+,5ms,56-75Hz (V),178 degree (H & V),1,250cd/m2,1000:1,"Panel Type: AH-IPS, Color Spectrum (CIE1931): 72%, Color Depth (Number of Colors): 16.7M colors, Pixel (mm): 0.2915 x 0.2915, Surface Treatment: Hard coating(3H) & Anti-Glare, Power Type: Adapter, Input: 100-240V, 50/60Hz 0.8A max, Normal Turn On (typ.): 18.7W, Weight: 2.3Kg (with Stand), 2Kg (without Stand)",Black Matte,,3 year,,,,"Color Correction, Bebas flicker, Saving Smart Electricity, Screen 4, Control on Screen, Reader Mode / Flicker Safe, On Screen Control, Colour Weakness Mode","453.3 x 167.8 x 382.4mm (With Buffer), 453.3 x 57.4 x 310.2mm (Without Buffer)",,16:10,,,,,,,,7600,7100
17,LG 20MK400H-B,Regular,20,Widescreen,HD TN LED,1366x768 (WxH) HD,2ms (Gray to Gray),50-75Hz (V),"90 degree (H), 65 degree (V)",,200cd/m2,"600:1 (Typical), Mega (DFC)","Background type: TN, Color gamut (CIE1931): 72% NTSC, Color depth (Color number): 16.7M color, Surface treatment: Anti-dazzling, 3H, HDCP: HDCP1.4, Flicker Safe: Yes, Headphone output: 1, Input: 100-240Vac, 50/60Hz, Normal turn on (typical EPA): 13W",Black,,3 year,,,,"Dynamic Action Sync, Black Stabilizer, On Screen Control, Smart Energy Saving, Simply put, everything looks more detailed than standard HD","468.8 x 366.5 x 181.9mm (With Stand), 468.8 x 276.4 x 38.4mm (Without Stand)",1,16:9,1,,,,,,,7700,7200
18,Asus VX207NE,Regular,19.5,Widescreen,HD LED,1366x768 (WxH) HD,5ms,,"90 degree (H), 65 degree (V)",1,200cd/m2,"600:1 (Max), 100000000:1 (ASCR)","Panel Backlight / Type: TN, Pixel Pitch: 0.311mm, Display Colors: 16.7M, SPLENDID Video Preset Modes: 8 Modes (sRGB Mode / Scenery Mode / Theater Mode / Standard Mode / Night View Mode / Game Mode / Reading Mode / Darkroom Mode), Low Blue Light: Yes, Flicker free, USP: Eye-Care Features With Ultra-Slim Elegant Design, Key Feature: TN, HD, 5ms, 16.7M, Flicker Free, D-Sub, DVI-D, Flicker Free, Blue Light Filter",Black,,3 year,,,,"Eye-Care Features With Ultra-Slim Elegant Design, True-to-life Pictures Powered by LED, Aspect Control function, 5ms Response Time, Two New Eye Care Modes For Viewing Comfort, SplendidPlus Video Intelligence Technology, Stylish and User-friendly Design for Modern Sophistication, Home and Office Monitor",,,16:9,1,,,,,,,7920,7500
19,LG 20MP38HQ-B,Regular,19.5,Widescreen,HD LED,1600x900 (WxH) HD+,5ms,56-75Hz (V),"90 degree (H), 65 degree (V)",1,200cd/m2,600:1,"Panel Type: TN, Color Gamut (CIE1976): 72%, Color Depth(Number of Colors): 16.7M colors, Pixel pitch(mm): 0.271 x 0.262, Surface Treatment: Anti glare ,3H, Headphone Out: Yes, Power Type: Adapter, Input: 100-240Vac, 50/60Hz, Normal On(EPA): 16W, Normal On(typ.): 20W, Picture Mode: Yes, Reader Mode: Yes, Original Ratio: Yes, HDCP: Yes, Plug & Play: Yes, Weight: 2.2Kg (with Stand), 2Kg (without Stand)",Black,,3 year,,,,"Color Weakness, Flicker safe, Automatic Standby, Smart Energy Saving, 4 screen split, On Screen Control, 20 Inch Class LED Monitor, Vivid colors from any angle, LG IPS, Protect Eyes and View in Comfort, Offers Improved Color Vision to Color Weakness","463.0 x 167.8 x 358.8mm (with Stand), 463.0 x 57.4 x 286.5mm (without Stand)",1,16:9,,,,,,,,7810,7500
20,AOC E2270SWHN,Regular,21.5,Widescreen,FHD TN LED,1920x1080 (WxH) FHD,5ms,60Hz,"90 degree (H), 65 degree (V)",1,200cd/m2,"700:1 (static), 20M:1 (dynamic)","Panel: TN, Backlight: WLED, Pixel Pitch (H) (V): 248, Active Screen Area: 476.64 x 268.11 mm, Display Colours: 16.7 Million, Audio output: Headphone out (3.5mm), Swivel: 0 degree, Tilt: -5/+15 degree, Vesa Wallmount: 100x100, Powersupply: Internal, Powersource: 100 - 240V 50/60Hz, Power Consumption On: 19 watt",Black,,3 year,,,,"This LED-backlit monitor delivers a solid performance for standard office and home applications, classy black texturised finish, the tiltable widescreen model is equipped with an HDMI port and a fast-reacting TN panel, boasting a 5 ms pixel response time for crisp, blur-free images. Intelligent programs such as Screen+ and i-Menu enhance the user experience and help to save energy, The eco-friendly Series 70 fulfils demanding sustainability certificates such as Energy Star 6.0 and EPEAT Silver and is prepared for both VESA wall mount and Kensington security devices, Intelligent performance, streamlined design",503.37 x 311.1 x 48mm (With Base),1,16:9,,,,,,,,8360,8000
21,LG 22MK430H-B,Regular,21.5,Widescreen,,1920x1080 (WxH) FHD,5ms (Gray to Gray),75Hz,178 degree (H & V),1,250cd/m2,1000:1,"Panel Type: IPS, Color Gamut (CIE1931): 72%, Color Depth(Number of Colors): 16.7M Colors, Pixel Pitch(mm): 0.24795 x 0.24795, Aspect Ratio: 16:9, Surface Treatment: Anti glare ,3H, 1 x Headphone Out, Picture Mode: Custom, Reader, Color Weakness, Photo, Cinema, Game, Ratio: Wide, Original, DDC/CI: Yes, HDCP: Yes (1.4)",Black,22MK430H-B,3 year,,,,"Plug & Play, Response Time Control, Adaptive Sync, AMD FreeSync, DAS Mode, Black Stabilizer, Crosshair, Flicker Safe, Automatic Standby, Smart Energy Saving, On-Screen Control (OSC), Super Resolution +, Black Level, DFC, Gamma Control, Color Temperature, OSD Lock, R/G/B Color Control, Auto Adjustment(D-sub Only), Dynamic Action Sync, Wall Mountable",,1,,,,,,,,,9870,9100
22,AOC 22B1HS,Regular,21.5,Widescreen,FHD IPS Borderless Slim Display,1920x1080 (WxH) FHD,5ms,60Hz,178 degree (H & V),1,250cd/m2,"1000:1 (static), 50M:1 (dynamic)","Panel: IPS, Backlight: WLED, Adobe RGB Coverage (%): 75, Pixel Pitch (H) (V): 0.24825, Active Screen Area: 476.64 x 268.11 mm, Display Colours: 16.7 Million, Audio output: Headphone out (3.5mm), Powersupply: External, Powersource: 100 - 240V 50/60Hz, Power Consumption On: 17 watt",Black,,3 year,,,,"Sleek looks and rich colours from every angle, allows seamless multi-monitor setups thanks to its wide viewing angles (178/178), 3-sides borderless design, VGA and HDMI inputs enable connection of current and legacy sources, Slim design, Super narrow bezels, IPS Panel, The super narrow bezels not only let the monitor look sleek and elegant, but also allow less distraction and more focus on the display content itself when using a multi-monitor setup, The monitor feels more compact, too",503.6 x 172.8 x 401mm (With Base),1,16:9,,,,,,,,9660,9200
23,Dell E1715S,Regular,17,Rotatable Square,LED,1280x1024 (WxH) SXGA,5ms,60Hz,"170 degree (H), 160 degree (V)",1,250cd/m2,1000:1,"Backlight Technology: LED light bar system, Adjustability: Tilt, Display Type: Standard Flat Panel Display, Display Screen Coating: Antiglare, Flat Panel Mount Interface: VESA (100 mm), Voltage Required: 100 VAC to 240 VAC/50 Hz or 60 Hz + 3 Hz/1.5 A (Max.)",Black,E1715S,3 year,China,USA,,"Essential and reliable performance, smart choice for reliability and essential features that can help drive productivity, A great fit, Excellent clarity, Simple connections, simplify connections to laptop and desktop PCs with VGA and DisplayPort connectors, Tilt adjustment, Designed to be efficient",,,,,,,,,,,10090,9300
24,ASUS VP228HE,Gaming,21.5,Widescreen,FHD LED,1920x1080 (WxH) FHD,1ms (Gray to Gray),50 - 75Hz,"90 degree (H), 65 degree (V)",1,200cd/m2,100000000:1 (ASCR),"Panel Backlight / Type: WLED/ TN, Display Surface: Non-glare, Pixel Pitch: 0.248 mm, Display Colors: 16.7M, Flicker free: Yes, Trace Free Technology: Yes, Skin-Tone Selection: 3 Modes, SPLENDID Video Preset Modes: 8 Modes, Color Temperature Selection: 4 Modes, QuickFit (modes): Yes, GamePlus(modes): Yes, Low Blue Light: Yes, VividPixel: Yes, Smart View Technology: Yes, PC Audio Input: 3.5mm Mini-Jack, Power Input: 100-240V, 50/60Hz, Weight: 3.5Kg, USP: Best budget gaming monitor with 1ms (GTG) with Stereo Speakers, Key Feature: TN, FHD, 16.7M, HDMI, D-Sub, Low Blue Light, Flicker Free, VESA Wall Mounting",Black,,3 year,China,Taiwan,,"Flicker free, 8 SPLENDID Video Preset Modes (sRGB Mode/ Scenery Mode/ Theater Mode/ Standard Mode/ Night View Mode/ Game Mode/ Reading Mode/ Darkroom Mode), 3 Modes Skin-Tone Selection, 4 Modes Color Temperature Selection, QuickFit modes (Alignment Grid/Photo Modes), GamePlus modes (Crosshair/Timer), Low Blue Light, VividPixel, Smart View Technology","513 x 373 x 199.4mm (with Stand), 513 x 309 x 52.1mm (without Stand)",1,16:9,,2 x 1.5W Stereo RMS,,,,,,10090,9400
25,Hikvision DS-D5022QE-B,Surveillance,21.5,Widescreen,FHD LED,1920x1080 (WxH) FHD,5ms,60Hz,"170 degree (H), 160 degree (V)",1,250cd/m2,,"VESA: M4, 100 mm x 100 mm, Weight: 3.3Kg, Power Supply: AC 100-240V, 50/60Hz, Power Consumption: <-30W, Backlight: LED Backlight, Pixel Pitch: 0.248 mm (H) x 0.248 mm (V), Contrast: 41.667361111111113, Color: 16.7M, Active Area: 476.64mm x 268.11mm",Black,,1 year,China,China,,"LED backlit technology with full HD 1920 x 1080, 22 Inch LED backlight monitor, Image processing (3D comb filter, 3D De-interlace, 3D noise reduction, 24/7 operation)","511 x 377 x 170mm (with base), 511 x 313 x 46mm (without base)",1,,,,,,,,,10090,9500
26,Dell SE2219HX,Regular,21.5,Widescreen,FHD LED,1920x1080 (WxH) FHD,"8ms (Gray to Gray) (Normal), 5ms (Gray to Gray)",60Hz,178 degree (H & V),1,250cd/m2,1000:1,"Panel Type: IPS, Backlight Technology: LED edgelight system, Pixel per inch (PPI): 102, Color Gamut: 72% NTSC (CIE 1931), Active Viewing Area (HxV): 476.06 x 267.79mm, Narrow bezels: Yes, 3-sided narrow bezels, Power Consumption (Operational): 17W (typ) - 20W (max), Voltage Required: 100 - 240 VAC / 50 or 60 Hz +- 3 Hz/1.5A, Pixel Pitch: 0.2479 mm x 0.24795mm, Color Depth: 16.7 million, HDCP support: Yes, HDCP 1.4 (HDMI)",Black,,3 year,,,,"Arsenic-free glass and mercury-free panel, Low haze with 3H hardness Display Screen Coating, 3-sided narrow bezels, Looks great from every angle, A smaller footprint, Withthin borders and the ability to easily adjust the angle, Brilliant from every angle",,1,,,,,,,,,10310,9600
27,AOC I2279VWHE,Regular,21.5,Widescreen,FHD Slim LED IPS Display,1920x1080 (WxH) FHD,6ms,60Hz,178 degree (H & V),1,250cd/m2,50M:1 (dynamic),"Panel: IPS, Backlight: WLED, Active Screen Area (HxW): 597.88 x 336.31 mm, Display Colours: 16.7 Million, Powersupply: Internal, Powersource: 100 - 240V 50/60Hz, Power Consumption On: 22 watt",Black,,3 year,,,,"This well-designed monitor features an IPS panel with full HD resolution and a mega-dynamic contrast ratio for vivid colors that come to life, rich details and colors",498.8 x 387.2 x 133.2mm (With Base),1,16:9,,,,,,,,10630,10000
28,BenQ GW2283,Regular,21.5,Widescreen,IPS FHD LED,1920x1080 (WxH) FHD,5ms (Gray to Gray),60Hz,178 degree (H & V),1,250cd/m2,"1,000:1 (typical), 20,000,000:1 (DCR)","Matte Display, Panel Type: IPS, Backlight Technology: LED backlight, Display Colors: 16.7 million clolors, Color Gamut: 72% NTSC, Display Area(mm): 476.06 x 267.79, PPI: 102, Color Bit: 8 bit, Headphone Jack: Yes, Audio Line In: Yes, Color Temperature: Reddish/Normal/Bluish/User Mode, K Locker: Yes, HDCP: 1.4, AMA: Yes, Flicker-free Technology: Yes, Low Blue Light: Yes, Brightness Intelligence (B.I.): Yes, Power Voltage Rating: 100 - 240V, Power Consumption (on mode.): 25W, Net Weight (kg): 3.7Kg",Black,,3 year,China,Taiwan,,"Eye Care Full HD IPS Monitor, Stunning Full HD IPS Display, Edge to Edge Slim Bezel Design, Dual HDMI Connectivity, Streamlined Productivity & Simplified Lifestyle, Understated, Stylish and Sophisticated Design, Brilliant Picture Quality, IPS Wide Viewing Angle Technology, 8-Bit Color Display, Multimedia Enjoyment, Brightness Intelligence Technology, Picture Perfect Content Optimization, Eliminate Eye Strain in Any Ambient Light, Low Blue Light, Flicker-Free Technology",489.5 x 391.6 x 183mm,2,16:9,,1Watt x 2,,,,,,10850,10100
29,Asus VA229HR,Regular,21.5,Widescreen,IPS FHD LED,1920x1080 (WxH) FHD,5ms,75Hz,178 degree (H & V),1,250cd/m2,"1000:1 (Max), 80000000:1 (ASCR)","Panel Backlight / Type: IPS, Display Surface: Non-glare, Pixel Pitch: 0.248 mm, Display Colors: 16.7M, Trace Free Technology: Yes, SPLENDID Video Preset Modes: 8 Modes, Skin-Tone Selection: 3 Modes, Color Temperature Selection: 4 Modes, QuickFit (modes): Yes, GamePlus(modes): Yes, Low Blue Light: Yes, HDCP support: Yes, VividPixel: Yes, PC Audio Input: 3.5mm Mini-Jack, Earphone jack: 3.5mm Mini-Jack, Power Consumption: <26W, Security: Kensington lock, Weight: 3.6Kg, USP: 75Hz, Frameless, Wall Mountable, Stereo Speakers, Key Feature: FHD, IPS, Contrast Ratio 1000:1, 5ms, 16.7M, HDMI, D-Sub",Black,VA229HR,3 year,China,Taiwan,,"Flicker free, Trace Free Technology, 8 Modes SPLENDID Video Preset (sRGB Mode/Scenery Mode/Theater Mode/Standard Mode/Night View Mode/Game Mode/Reading Mode/Darkroom Mode), 3 Modes Skin-Tone Selection, 4 Modes Color Temperature Selection, QuickFit (Alignment Grid/Photo Modes), GamePlus (Crosshair/Timer modes), Low Blue Light, HDCP support, VividPixel, Eye Care Monitor, Up to 75Hz to eliminate tracing and ensure crisp and clear video playback, Extensive connectivity including HDMI and D-sub ports. Plus 1.5-Watt stereo speakers, VESA wall-mountable to save on desktop space, Viewing Perfection, 80,000,000:1 ASUS Smart Contrast Ratio, Game Fast and Game Smooth, ASUS-exclusive GamePlus Technology, ASUS-exclusive Splendid Technologies, VividPixel Technology for Best Picture Quality","499.5 x 371.7 x 199.5mm (with stand), 499.5 x 299 x 47.5mm (without stand)",1,16:9,,1.5W x 2 Stereo RMS,,,,,,10850,10200
30,AOC I2281FWH,Regular,21.5,Widescreen,FHD WLED IPS Ultra Slim Display,1920x1080 (WxH) FHD,4ms,60Hz,178 degree (H & V),1,250cd/m2,"1000:1 (static), 50M:1 (dynamic)","Panel: IPS, Backlight: WLED, Active Screen Area: 477.5x268.5 mm, Pixel Pitch (H) (V): 0.248, Display Colours: 16.7 Million, Scanning Frequency: 30-83khz/50-76hz, Audio output: Headphone out (3.5mm), Powersupply: External, Powersource: 100 - 240V 50/60Hz, Power Consumption On: 22 watt, MTBF: 50.000 hours, weight: 2.65Kg",Black,,3 year,,,,"Amazing picture quality, stunning design and a minimal footprint, This displays ultra-slim profile and eye-catching base are sure to get people talking, The on-screen performance is just as impressive, the AH-IPS panel provides virtually borderless viewing and uniform colors from nearly any angle, With a built-in headphone jack and HDMI and VGA connectors, this monitor is also ideal for using multiple devices like computers and game consoles, Flicker-free technology optimizes the brightness to reduce eye strain, Asymmetric Stand",500 x 382 x 150mm,1,16:9,,,,,,,,11180,10500
31,LG 22MK600M,Regular,21.5,Widescreen,FHD IPS,1920x1080 (WxH) FHD,5ms (Gray to Gray),75Hz,178 degree (H & V),1,250cd/m2,1000:1,"Panel Type: IPS, Color Gamut (CIE1931): NTSC 72%, Color Depth (Number of Colors): 16.7M colors, Aspect Ratio: 16:9, Contrast Ratio (DFC): Mega, Surface Treatment: Anti glare ,3H, Picture Mode: Custom, Reader, Color Weakness, Photo, Cinema, Game, Ratio: Wide/Original, DDC/CI: Yes, HDCP: Yes 1.4, 1 x Headphone Out",Black,22MK600M,3 year,,,,"Response Time Control, Key Lock, DAS Mode, Black Stabilizer, Crosshair, Flicker Safe, Automatic Standby, Smart Energy Saving, Reader Mode, Super + resolution, Color Calibrated, OnScreen Control Software, High Definition with True Color, 3-Side Borderless Screen, Immersive Visual Experience, Radeon FreeSync, Dynamic Action Sync, Perfect Eyes with Reader Mode, Wall Mountable",,1,,,,,,,,,11390,10500
